Date,Close,,,,,,,,,,,,,,,,,,,,,,,
27/12/2017,42.65,,,,,,,,,,,,,,,,,,,,,,,
28/12/2017,42.77,,,,,,,,,,,,,,,,,,,,,,,
29/12/2017,42.31,,,,,,,,,,,,,,,,,,,,,,,
2/01/2018,43.07,,,,,,,,,,,,,,,,,,,,,,,
3/01/2018,43.06,,,,,,,,,,,,,,,,,,,,,,,
4/01/2018,43.26,,,,,,,,,,,,,,,,,,,,,,,
5/01/2018,43.75,,,,,,,,,,,,,,,,,,,,,,,
8/01/2018,43.59,,,,,,,,,,,,,,,,,,,,,,,
9/01/2018,43.58,,,,,,,,,,,,,,,,,,,,,,,
10/01/2018,43.57,,,,,,,,,,,,,,,,,,,,,,,
11/01/2018,43.82,,,,,,,,,,,,,,,,,,,,,,,
12/01/2018,44.27,,,,,,,,,,,,,,,,,,,,,,,
16/01/2018,44.05,,,,,,,,,,,,,,,,,,,,,,,
17/01/2018,44.78,,,,,,,,,,,,,,,,,,,,,,,
18/01/2018,44.82,,,,,,,,,,,,,,,,,,,,,,,
19/01/2018,44.62,,,,,,,,,,,,,,,,,,,,,,,
22/01/2018,44.25,,,,,,,,,,,,,,,,,,,,,,,
23/01/2018,44.26,,,,,,,,,,,,,,,,,,,,,,,
24/01/2018,43.56,,,,,,,,,,,,,,,,,,,,,,,
25/01/2018,42.78,,,,,,,,,,,,,,,,,,,,,,,
26/01/2018,42.88,,,,,,,,,,,,,,,,,,,,,,,
29/01/2018,41.99,,,,,,,,,,,,,,,,,,,,,,,
30/01/2018,41.74,,,,,,,,,,,,,,,,,,,,,,,
31/01/2018,41.86,,,,,,,,,,,,,,,,,,,,,,,
1/02/2018,41.95,,,,,,,,,,,,,,,,,,,,,,,
2/02/2018,40.13,,,,,,,,,,,,,,,,,,,,,,,
5/02/2018,39.12,,,,,,,,,,,,,,,,,,,,,,,
6/02/2018,40.76,,,,,,,,,,,,,,,,,,,,,,,
7/02/2018,39.89,,,,,,,,,,,,,,,,,,,,,,,
8/02/2018,38.79,,,,,,,,,,,,,,,,,,,,,,,
9/02/2018,39.1,,,,,,,,,,,,,,,,,,,,,,,
12/02/2018,40.68,,,,,,,,,,,,,,,,,,,,,,,
13/02/2018,41.09,,,,,,,,,,,,,,,,,,,,,,,
14/02/2018,41.84,,,,,,,,,,,,,,,,,,,,,,,
15/02/2018,43.25,,,,,,,,,,,,,,,,,,,,,,,
16/02/2018,43.11,,,,,,,,,,,,,,,,,,,,,,,
20/02/2018,42.96,,,,,,,,,,,,,,,,,,,,,,,
21/02/2018,42.77,,,,,,,,,,,,,,,,,,,,,,,
22/02/2018,43.13,,,,,,,,,,,,,,,,,,,,,,,
23/02/2018,43.88,,,,,,,,,,,,,,,,,,,,,,,
26/02/2018,44.74,,,,,,,,,,,,,,,,,,,,,,,
27/02/2018,44.6,,,,,,,,,,,,,,,,,,,,,,,
28/02/2018,44.53,,,,,,,,,,,,,,,,,,,,,,,
1/03/2018,43.75,,,,,,,,,,,,,,,,,,,,,,,
2/03/2018,44.05,,,,,,,,,,,,,,,,,,,,,,,
5/03/2018,44.21,,,,,,,,,,,,,,,,,,,,,,,
6/03/2018,44.17,,,,,,,,,,,,,,,,,,,,,,,
7/03/2018,43.76,,,,,,,,,,,,,,,,,,,,,,,
8/03/2018,44.24,,,,,,,,,,,,,,,,,,,,,,,
9/03/2018,45,,,,,,,,,,,,,,,,,,,,,,,
12/03/2018,45.43,,,,,,,,,,,,,,,,,,,,,,,
13/03/2018,44.99,,,,,,,,,,,,,,,,,,,,,,,
14/03/2018,44.61,,,,,,,,,,,,,,,,,,,,,,,
15/03/2018,44.66,,,,,,,,,,,,,,,,,,,,,,,
16/03/2018,44.51,,,,,,,,,,,,,,,,,,,,,,,
19/03/2018,43.83,,,,,,,,,,,,,,,,,,,,,,,
20/03/2018,43.81,,,,,,,,,,,,,,,,,,,,,,,
21/03/2018,42.82,,,,,,,,,,,,,,,,,,,,,,,
22/03/2018,42.21,,,,,,,,,,,,,,,,,,,,,,,
23/03/2018,41.24,,,,,,,,,,,,,,,,,,,,,,,
26/03/2018,43.19,,,,,,,,,,,,,,,,,,,,,,,
27/03/2018,42.09,,,,,,,,,,,,,,,,,,,,,,,
28/03/2018,41.62,,,,,,,,,,,,,,,,,,,,,,,
29/03/2018,41.95,,,,,,,,,,,,,,,,,,,,,,,
2/04/2018,41.67,,,,,,,,,,,,,,,,,,,,,,,
3/04/2018,42.1,,,,,,,,,,,,,,,,,,,,,,,
4/04/2018,42.9,,,,,,,,,,,,,,,,,,,,,,,
5/04/2018,43.2,,,,,,,,,,,,,,,,,,,,,,,
6/04/2018,42.1,,,,,,,,,,,,,,,,,,,,,,,
9/04/2018,42.51,,,,,,,,,,,,,,,,,,,,,,,
10/04/2018,43.31,,,,,,,,,,,,,,,,,,,,,,,
11/04/2018,43.11,,,,,,,,,,,,,,,,,,,,,,,
12/04/2018,43.54,,,,,,,,,,,,,,,,,,,,,,,
13/04/2018,43.68,,,,,,,,,,,,,,,,,,,,,,,
16/04/2018,43.96,,,,,,,,,,,,,,,,,,,,,,,
